N,snv_offset,delta,lflank,n_loci,frac_T,frac_D
5,3,-1,3,5420,0.15129151291512916,0.014575645756457565
5,3,-1,4,5420,0.07214022140221402,0.003136531365313653
5,3,-1,5,5420,0.026199261992619925,0.001107011070110701
5,3,-1,6,5420,0.006273062730627306,0.00036900369003690036
5,3,-1,7,5420,0.002214022140221402,0.00018450184501845018
5,3,-1,8,5420,0.00036900369003690036,0.0
5,3,0,3,5420,0.15129151291512916,0.014575645756457565
5,3,0,4,5420,0.07214022140221402,0.003136531365313653
5,3,0,5,5420,0.026199261992619925,0.001107011070110701
5,3,0,6,5420,0.006273062730627306,0.00036900369003690036
5,3,0,7,5420,0.002214022140221402,0.00018450184501845018
5,3,0,8,5420,0.00036900369003690036,0.0
5,3,1,3,5420,0.15129151291512916,0.014575645756457565
5,3,1,4,5420,0.07214022140221402,0.003136531365313653
5,3,1,5,5420,0.026199261992619925,0.001107011070110701
5,3,1,6,5420,0.006273062730627306,0.00036900369003690036
5,3,1,7,5420,0.002214022140221402,0.00018450184501845018
5,3,1,8,5420,0.00036900369003690036,0.0
5,3,2,3,5420,0.15129151291512916,0.014575645756457565
5,3,2,4,5420,0.07214022140221402,0.003136531365313653
5,3,2,5,5420,0.026199261992619925,0.001107011070110701
5,3,2,6,5420,0.006273062730627306,0.00036900369003690036
5,3,2,7,5420,0.002214022140221402,0.00018450184501845018
5,3,2,8,5420,0.00036900369003690036,0.0
5,3,3,3,5420,0.15129151291512916,0.014575645756457565
5,3,3,4,5420,0.07214022140221402,0.003136531365313653
5,3,3,5,5420,0.026199261992619925,0.001107011070110701
5,3,3,6,5420,0.006273062730627306,0.00036900369003690036
5,3,3,7,5420,0.002214022140221402,0.00018450184501845018
5,3,3,8,5420,0.00036900369003690036,0.0
5,3,4,3,5420,0.15129151291512916,0.014575645756457565
5,3,4,4,5420,0.07214022140221402,0.003136531365313653
5,3,4,5,5420,0.026199261992619925,0.001107011070110701
5,3,4,6,5420,0.006273062730627306,0.00036900369003690036
5,3,4,7,5420,0.002214022140221402,0.00018450184501845018
5,3,4,8,5420,0.00036900369003690036,0.0
5,3,5,3,5420,0.15129151291512916,0.014575645756457565
5,3,5,4,5420,0.07214022140221402,0.003136531365313653
5,3,5,5,5420,0.026199261992619925,0.001107011070110701
5,3,5,6,5420,0.006273062730627306,0.00036900369003690036
5,3,5,7,5420,0.002214022140221402,0.00018450184501845018
5,3,5,8,5420,0.00036900369003690036,0.0
5,4,-5,1,5420,0.00018450184501845018,0.0
5,4,-5,4,5420,0.06439114391143912,0.03339483394833948
5,4,-5,5,5420,0.03136531365313653,0.013468634686346863
5,4,-5,6,5420,0.011439114391143911,0.006273062730627306
5,4,-5,7,5420,0.004059040590405904,0.002952029520295203
5,4,-5,8,5420,0.0007380073800738007,0.001107011070110701
5,4,-5,9,5420,0.00018450184501845018,0.00018450184501845018
5,4,-5,10,5420,0.0,0.00018450184501845018
5,4,-4,4,5420,0.07767527675276753,0.008302583025830259
5,4,-4,5,5420,0.03856088560885609,0.0009225092250922509
5,4,-4,6,5420,0.014760147601476014,0.00036900369003690036
5,4,-4,7,5420,0.005904059040590406,0.0
5,4,-4,8,5420,0.0014760147601476014,0.0
5,4,-4,9,5420,0.00018450184501845018,0.0
5,4,-3,4,5420,0.07767527675276753,0.008302583025830259
5,4,-3,5,5420,0.03856088560885609,0.0009225092250922509
5,4,-3,6,5420,0.014760147601476014,0.00036900369003690036
5,4,-3,7,5420,0.005904059040590406,0.0
5,4,-3,8,5420,0.0014760147601476014,0.0
5,4,-3,9,5420,0.00018450184501845018,0.0
5,4,-2,4,5420,0.07767527675276753,0.008302583025830259
5,4,-2,5,5420,0.03856088560885609,0.0009225092250922509
5,4,-2,6,5420,0.014760147601476014,0.00036900369003690036
5,4,-2,7,5420,0.005904059040590406,0.0
5,4,-2,8,5420,0.0014760147601476014,0.0
5,4,-2,9,5420,0.00018450184501845018,0.0
5,4,-1,4,5420,0.07767527675276753,0.008302583025830259
5,4,-1,5,5420,0.03856088560885609,0.0009225092250922509
5,4,-1,6,5420,0.014760147601476014,0.00036900369003690036
5,4,-1,7,5420,0.005904059040590406,0.0
5,4,-1,8,5420,0.0014760147601476014,0.0
5,4,-1,9,5420,0.00018450184501845018,0.0
5,4,0,4,5420,0.07767527675276753,0.008302583025830259
5,4,0,5,5420,0.03856088560885609,0.0009225092250922509
5,4,0,6,5420,0.014760147601476014,0.00036900369003690036
5,4,0,7,5420,0.005904059040590406,0.0
5,4,0,8,5420,0.0014760147601476014,0.0
5,4,0,9,5420,0.00018450184501845018,0.0
