pind,arm,delta,correct
415,BWA-no-clip,2,0.6
415,BWA-std,2,0.5
415,NW-flex,2,1.0
415,BWA-no-clip,3,0.6
415,BWA-std,3,0.3
415,NW-flex,3,1.0
415,BWA-no-clip,4,0.6
415,BWA-std,4,0.1
415,NW-flex,4,1.0
415,BWA-no-clip,5,0.6
415,BWA-std,5,0.0
415,NW-flex,5,1.0
416,BWA-no-clip,-5,0.6
416,BWA-std,-5,0.1
416,NW-flex,-5,1.0
416,BWA-no-clip,-4,0.7
416,BWA-std,-4,0.2
416,NW-flex,-4,1.0
416,BWA-no-clip,-3,0.7
416,BWA-std,-3,0.4
416,NW-flex,-3,1.0
416,BWA-no-clip,-2,0.8
416,BWA-std,-2,0.5
416,NW-flex,-2,1.0
416,BWA-no-clip,-1,0.7
416,BWA-std,-1,0.7
416,NW-flex,-1,1.0
416,BWA-no-clip,0,1.0
416,BWA-std,0,1.0
416,NW-flex,0,1.0
416,BWA-no-clip,1,0.9
416,BWA-std,1,0.7
416,NW-flex,1,1.0
416,BWA-no-clip,2,1.0
416,BWA-std,2,0.5
416,NW-flex,2,1.0
416,BWA-no-clip,3,1.0
416,BWA-std,3,0.3
416,NW-flex,3,1.0
416,BWA-no-clip,4,1.0
416,BWA-std,4,0.1
416,NW-flex,4,1.0
416,BWA-no-clip,5,1.0
416,BWA-std,5,0.0
416,NW-flex,5,1.0
417,BWA-no-clip,-5,0.4
417,BWA-std,-5,0.1
417,NW-flex,-5,1.0
417,BWA-no-clip,-4,0.5
417,BWA-std,-4,0.2
417,NW-flex,-4,1.0
417,BWA-no-clip,-3,0.5
417,BWA-std,-3,0.4
417,NW-flex,-3,1.0
417,BWA-no-clip,-2,0.8
417,BWA-std,-2,0.5
417,NW-flex,-2,1.0
417,BWA-no-clip,-1,0.6
417,BWA-std,-1,0.6
417,NW-flex,-1,1.0
417,BWA-no-clip,0,1.0
417,BWA-std,0,1.0
417,NW-flex,0,1.0
417,BWA-no-clip,1,0.8
417,BWA-std,1,0.7
417,NW-flex,1,1.0
417,BWA-no-clip,2,1.0
417,BWA-std,2,0.5
