pind,arm,snv_offset,correct
431,NW-flex,-1,1.0
432,BWA-no-clip,0,0.6454545454545455
432,BWA-std,0,0.12727272727272726
432,NW-flex,0,0.996969696969697
432,BWA-no-clip,1,0.6272727272727273
432,BWA-std,1,0.12727272727272726
432,NW-flex,1,1.0
432,BWA-no-clip,10,0.8272727272727273
432,BWA-std,10,0.4090909090909091
432,NW-flex,10,1.0
432,BWA-no-clip,2,0.7272727272727273
432,BWA-std,2,0.12727272727272726
432,NW-flex,2,1.0
432,BWA-no-clip,3,0.7454545454545455
432,BWA-std,3,0.13636363636363635
432,NW-flex,3,1.0
432,BWA-no-clip,5,0.8090909090909091
432,BWA-std,5,0.19090909090909092
432,NW-flex,5,1.0
432,BWA-no-clip,-1,0.8272727272727273
432,BWA-std,-1,0.4090909090909091
432,NW-flex,-1,1.0
433,BWA-no-clip,0,0.3
433,BWA-std,0,0.10909090909090909
433,NW-flex,0,0.4
433,BWA-no-clip,1,0.4303030303030303
433,BWA-std,1,0.12727272727272726
433,NW-flex,1,0.9848484848484849
433,BWA-no-clip,10,0.5121212121212121
433,BWA-std,10,0.3575757575757576
433,NW-flex,10,1.0
433,BWA-no-clip,2,0.45454545454545453
433,BWA-std,2,0.13636363636363635
433,NW-flex,2,1.0
433,BWA-no-clip,3,0.503030303030303
433,BWA-std,3,0.13636363636363635
433,NW-flex,3,1.0
433,BWA-no-clip,5,0.4666666666666667
433,BWA-std,5,0.15454545454545454
433,NW-flex,5,1.0
433,BWA-no-clip,-1,0.5121212121212121
433,BWA-std,-1,0.3575757575757576
433,NW-flex,-1,1.0
434,BWA-no-clip,0,0.4636363636363636
434,BWA-std,0,0.12727272727272726
434,NW-flex,0,0.996969696969697
434,BWA-no-clip,1,0.4818181818181818
434,BWA-std,1,0.12727272727272726
434,NW-flex,1,1.0
434,BWA-no-clip,10,0.7
434,BWA-std,10,0.4
434,NW-flex,10,1.0
434,BWA-no-clip,2,0.5272727272727272
434,BWA-std,2,0.12727272727272726
434,NW-flex,2,1.0
434,BWA-no-clip,3,0.5363636363636364
434,BWA-std,3,0.13636363636363635
434,NW-flex,3,1.0
434,BWA-no-clip,5,0.7
434,BWA-std,5,0.18181818181818182
434,NW-flex,5,1.0
434,BWA-no-clip,-1,0.7
434,BWA-std,-1,0.4
434,NW-flex,-1,1.0
435,BWA-no-clip,0,0.4727272727272727
435,BWA-std,0,0.10909090909090909
435,NW-flex,0,0.8
435,BWA-no-clip,1,0.6545454545454545
435,BWA-std,1,0.12727272727272726
435,NW-flex,1,0.996969696969697
435,BWA-no-clip,10,0.7636363636363637
435,BWA-std,10,0.4090909090909091
435,NW-flex,10,1.0
435,BWA-no-clip,2,0.6818181818181818
435,BWA-std,2,0.12727272727272726
435,NW-flex,2,1.0
435,BWA-no-clip,3,0.7090909090909091
435,BWA-std,3,0.13636363636363635
435,NW-flex,3,1.0
435,BWA-no-clip,5,0.7272727272727273
435,BWA-std,5,0.19090909090909092
435,NW-flex,5,1.0
435,BWA-no-clip,-1,0.7636363636363637
435,BWA-std,-1,0.4090909090909091
435,NW-flex,-1,1.0
436,BWA-no-clip,0,0.6909090909090909
436,BWA-std,0,0.12727272727272726
436,NW-flex,0,0.990909090909091
436,BWA-no-clip,1,0.7727272727272727
