pind1,pind2,arm,bridge_len,correct
804,3747,NW-flex,1,1.0
804,3747,BWA-no-clip,2,0.6694214876033058
804,3747,BWA-std,2,0.7272727272727273
804,3747,NW-flex,2,1.0
804,3747,BWA-no-clip,3,0.9504132231404959
804,3747,BWA-std,3,0.9504132231404959
804,3747,NW-flex,3,1.0
804,3747,BWA-no-clip,4,0.9008264462809917
804,3747,BWA-std,4,0.9090909090909091
804,3747,NW-flex,4,1.0
804,3747,BWA-no-clip,5,1.0
804,3747,BWA-std,5,1.0
804,3747,NW-flex,5,1.0
805,3237,BWA-no-clip,1,0.47107438016528924
805,3237,BWA-std,1,0.6198347107438017
805,3237,NW-flex,1,1.0
805,3237,BWA-no-clip,2,1.0
805,3237,BWA-std,2,1.0
805,3237,NW-flex,2,1.0
805,3237,BWA-no-clip,3,1.0
805,3237,BWA-std,3,1.0
805,3237,NW-flex,3,1.0
805,3237,BWA-no-clip,4,1.0
805,3237,BWA-std,4,1.0
805,3237,NW-flex,4,1.0
805,3237,BWA-no-clip,5,1.0
805,3237,BWA-std,5,1.0
805,3237,NW-flex,5,1.0
810,6012,BWA-no-clip,1,0.48760330578512395
810,6012,BWA-std,1,0.5206611570247934
810,6012,NW-flex,1,1.0
810,6012,BWA-no-clip,2,1.0
810,6012,BWA-std,2,1.0
810,6012,NW-flex,2,1.0
810,6012,BWA-no-clip,3,0.5041322314049587
810,6012,BWA-std,3,0.5537190082644629
810,6012,NW-flex,3,1.0
810,6012,BWA-no-clip,4,0.8677685950413223
810,6012,BWA-std,4,0.8760330578512396
810,6012,NW-flex,4,1.0
810,6012,BWA-no-clip,5,1.0
810,6012,BWA-std,5,1.0
810,6012,NW-flex,5,1.0
814,3966,BWA-no-clip,1,0.24793388429752067
814,3966,BWA-std,1,0.4628099173553719
814,3966,NW-flex,1,1.0
814,3966,BWA-no-clip,2,0.3884297520661157
814,3966,BWA-std,2,0.5619834710743802
814,3966,NW-flex,2,1.0
814,3966,BWA-no-clip,3,0.9173553719008265
