N,snv_offset,motif_len,arm,delta,lflank,n_loci,frac_P,frac_T,frac_M,frac_D,frac_score_eq_truth,frac_P_fwd,frac_T_fwd,frac_M_fwd,frac_D_fwd,frac_score_eq_truth_fwd,frac_P_rc,frac_T_rc,frac_M_rc,frac_D_rc,frac_score_eq_truth_rc
5,-1,1,BWA-no-clip,2,7,399.0,0.9924812030075187,0.007518796992481203,0.0,0.0,1.0,0.9924812030075187,0.007518796992481203,0.0,0.0,1.0,0.9924812030075187,0.007518796992481203,0.0,0.0,1.0
5,-1,1,BWA-no-clip,2,8,399.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
5,-1,1,BWA-no-clip,2,9,399.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
5,-1,1,BWA-no-clip,2,10,399.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
5,-1,1,BWA-no-clip,3,1,399.0,0.7794486215538847,0.022556390977443608,0.0,0.19799498746867167,0.8020050125313283,0.7794486215538847,0.022556390977443608,0.0,0.19799498746867167,0.8020050125313283,0.7543859649122807,0.03258145363408521,0.0,0.21303258145363407,0.7869674185463659
5,-1,1,BWA-no-clip,3,2,399.0,0.8646616541353384,0.020050125313283207,0.0,0.11528822055137844,0.8847117794486216,0.8646616541353384,0.020050125313283207,0.0,0.11528822055137844,0.8847117794486216,0.8621553884711779,0.022556390977443608,0.0,0.11528822055137844,0.8847117794486216
5,-1,1,BWA-no-clip,3,3,399.0,0.9473684210526315,0.005012531328320802,0.0,0.047619047619047616,0.9523809523809523,0.9473684210526315,0.005012531328320802,0.0,0.047619047619047616,0.9523809523809523,0.9423558897243107,0.010025062656641603,0.0,0.047619047619047616,0.9523809523809523
5,-1,1,BWA-no-clip,3,4,399.0,0.9874686716791979,0.002506265664160401,0.0,0.010025062656641603,0.9899749373433584,0.9874686716791979,0.002506265664160401,0.0,0.010025062656641603,0.9899749373433584,0.9849624060150376,0.005012531328320802,0.0,0.010025062656641603,0.9899749373433584
5,-1,1,BWA-no-clip,3,5,399.0,0.9974937343358395,0.0,0.0,0.002506265664160401,0.9974937343358395,0.9974937343358395,0.0,0.0,0.002506265664160401,0.9974937343358395,0.9974937343358395,0.0,0.0,0.002506265664160401,0.9974937343358395
5,-1,1,BWA-no-clip,3,6,399.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
5,-1,1,BWA-no-clip,3,7,399.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
5,-1,1,BWA-no-clip,3,8,399.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
5,-1,1,BWA-no-clip,3,9,399.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
5,-1,1,BWA-no-clip,3,10,399.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
5,-1,1,BWA-no-clip,4,1,399.0,0.9047619047619048,0.0,0.0,0.09523809523809523,0.9047619047619048,0.9047619047619048,0.0,0.0,0.09523809523809523,0.9047619047619048,0.8521303258145363,0.017543859649122806,0.0,0.13032581453634084,0.8696741854636592
5,-1,1,BWA-no-clip,4,2,399.0,0.9598997493734336,0.0,0.0,0.040100250626566414,0.9598997493734336,0.9598997493734336,0.0,0.0,0.040100250626566414,0.9598997493734336,0.9448621553884712,0.005012531328320802,0.0,0.05012531328320802,0.949874686716792
5,-1,1,BWA-no-clip,4,3,399.0,0.9824561403508771,0.0,0.0,0.017543859649122806,0.9824561403508771,0.9824561403508771,0.0,0.0,0.017543859649122806,0.9824561403508771,0.9724310776942355,0.005012531328320802,0.0,0.022556390977443608,0.9774436090225563
5,-1,1,BWA-no-clip,4,4,399.0,0.9949874686716792,0.0,0.0,0.005012531328320802,0.9949874686716792,0.9949874686716792,0.0,0.0,0.005012531328320802,0.9949874686716792,0.9924812030075187,0.0,0.0,0.007518796992481203,0.9924812030075187
5,-1,1,BWA-no-clip,4,5,399.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
5,-1,1,BWA-no-clip,4,6,399.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
5,-1,1,BWA-no-clip,4,7,399.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
5,-1,1,BWA-no-clip,4,8,399.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
5,-1,1,BWA-no-clip,4,9,399.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
5,-1,1,BWA-no-clip,4,10,399.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
5,-1,1,BWA-no-clip,5,1,399.0,0.8045112781954887,0.002506265664160401,0.0,0.19298245614035087,0.8070175438596491,0.8045112781954887,0.002506265664160401,0.0,0.19298245614035087,0.8070175438596491,0.7619047619047619,0.020050125313283207,0.0,0.21804511278195488,0.7819548872180451
5,-1,1,BWA-no-clip,5,2,399.0,0.9348370927318296,0.002506265664160401,0.0,0.06265664160401002,0.9373433583959899,0.9348370927318296,0.002506265664160401,0.0,0.06265664160401002,0.9373433583959899,0.9047619047619048,0.015037593984962405,0.0,0.08020050125313283,0.9197994987468672
5,-1,1,BWA-no-clip,5,3,399.0,0.9774436090225563,0.0,0.0,0.022556390977443608,0.9774436090225563,0.9774436090225563,0.0,0.0,0.022556390977443608,0.9774436090225563,0.9573934837092731,0.005012531328320802,0.0,0.03759398496240601,0.9624060150375939
5,-1,1,BWA-no-clip,5,4,399.0,0.9899749373433584,0.0,0.0,0.010025062656641603,0.9899749373433584,0.9899749373433584,0.0,0.0,0.010025062656641603,0.9899749373433584,0.9849624060150376,0.005012531328320802,0.0,0.010025062656641603,0.9899749373433584
5,-1,1,BWA-no-clip,5,5,399.0,0.9949874686716792,0.002506265664160401,0.0,0.002506265664160401,0.9974937343358395,0.9949874686716792,0.002506265664160401,0.0,0.002506265664160401,0.9974937343358395,0.9949874686716792,0.002506265664160401,0.0,0.002506265664160401,0.9974937343358395
5,-1,1,BWA-no-clip,5,6,399.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
5,-1,1,BWA-no-clip,5,7,399.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
